GroupName,ChartName,point_time,point_val,Batch_ID
1706,32,2025/2/19 14:55,1.30E+11,241001L
1706,32,2025/2/19 14:55,1.32E+11,241001Q
1706,32,2025/2/19 14:56,1.32E+11,241002L
1706,32,2025/2/19 14:56,1.35E+11,241030Q
1706,32,2025/2/19 14:57,1.33E+11,241031K
1706,32,2025/2/19 14:58,1.31E+11,241031L
1706,32,2025/2/19 14:58,1.33E+11,241031P
1706,32,2025/2/25 16:27,1.30E+11,241101K
1706,32,2025/2/25 16:27,1.32E+11,241101P
1706,32,2025/2/25 16:28,1.34E+11,241101Q
1706,32,2025/2/25 16:29,1.30E+11,241102K
1706,32,2025/2/25 16:29,1.30E+11,241102Q
1706,32,2025/2/25 16:30,1.29E+11,241103L
1706,32,2025/3/5 15:45,1.35E+11,241204K
1706,32,2025/3/5 15:46,1.32E+11,241205L
1706,32,2025/3/5 15:47,1.28E+11,241103P
1706,32,2025/3/5 15:48,1.29E+11,241103Q
1706,32,2025/3/5 15:48,1.30E+11,241104K
1706,32,2025/3/12 14:22,1.34E+11,241206L
1706,32,2025/3/12 14:22,1.33E+11,241206P
1706,32,2025/3/12 14:25,1.35E+11,241205P
1706,32,2025/3/12 14:26,1.35E+11,241205Q
1706,32,2025/3/12 14:27,1.34E+11,241206K
1706,32,2025/3/19 15:03,1.32E+11,241207K
1706,32,2025/3/19 15:04,1.33E+11,241207P
1706,32,2025/3/19 15:05,1.32E+11,241207Q
1706,32,2025/3/19 15:05,1.34E+11,241208K
1706,32,2025/3/26 14:52,1.32E+11,241208L
1706,32,2025/3/26 14:53,1.34E+11,241208Q
1706,32,2025/3/26 14:53,1.34E+11,241209L
1706,32,2025/3/26 14:54,1.29E+11,241231P
1706,32,2025/3/26 14:55,1.29E+11,250101K
1706,32,2025/4/1 14:58,1.30E+11,250102Q
1706,32,2025/4/1 15:02,1.29E+11,250102L
1706,32,2025/4/1 15:02,1.32E+11,250101L
1706,32,2025/4/1 15:03,1.32E+11,250102P
1706,32,2025/4/1 15:04,1.31E+11,250101Q
1706,32,2025/4/2 10:11,1.32E+11,250103K
1706,32,2025/4/14 14:35,1.29E+11,250205P
1706,32,2025/4/14 14:36,1.28E+11,250206K
1706,32,2025/4/14 14:37,1.28E+11,250206L
1706,32,2025/4/14 14:37,1.29E+11,250206Q
1706,32,2025/4/14 14:38,1.27E+11,250207L
1706,32,2025/4/14 14:39,1.28E+11,250207Q
1706,32,2025/4/14 14:40,1.28E+11,250208K
1706,32,2025/4/14 14:41,1.29E+11,250208L
1706,32,2025/4/16 14:57,1.29E+11,250208P
