GroupName,ChartName,point_time,point_val,Batch_ID
Default,KS20F-0.03 um,2025/3/10 00:45,62.3,TWAF531498
Default,KS20F-0.03 um,2025/3/11 00:45,49,TWAF531498
Default,KS20F-0.03 um,2025/3/12 00:45,44.7,TWAF531498
Default,KS20F-0.03 um,2025/3/13 00:45,60.3,TWAF531498
Default,KS20F-0.03 um,2025/3/14 00:45,66,TWAF531498
Default,KS20F-0.03 um,2025/3/15 00:45,57,TWAF531498
Default,KS20F-0.03 um,2025/3/16 00:45,49,TWAF531498
Default,KS20F-0.03 um,2025/3/17 00:45,58.3,TWAF531498
Default,KS20F-0.03 um,2025/3/18 00:45,65,TWAF531498
Default,KS20F-0.03 um,2025/3/19 00:45,46.7,TWAF531498
Default,KS20F-0.03 um,2025/3/20 00:45,61,TWAF531498
Default,KS20F-0.03 um,2025/3/21 00:45,52.7,TWAF531498
Default,KS20F-0.03 um,2025/3/22 00:45,62,TWAF531498
Default,KS20F-0.03 um,2025/3/23 00:45,42,TWAF531498
Default,KS20F-0.03 um,2025/3/24 00:45,68.7,TWAF531498
Default,KS20F-0.03 um,2025/3/25 00:45,52.3,TWAF531498
Default,KS20F-0.03 um,2025/3/26 00:45,58.7,TWAF531498
Default,KS20F-0.03 um,2025/3/27 00:45,66.3,TWAF531498
Default,KS20F-0.03 um,2025/3/28 00:45,57,TWAF531498
Default,KS20F-0.03 um,2025/3/29 00:45,63.3,TWAF531498
Default,KS20F-0.03 um,2025/3/30 00:45,44.7,TWAF531498
Default,KS20F-0.03 um,2025/3/31 00:45,50.3,TWAF531498
Default,KS20F-0.03 um,2025/4/1 00:45,62.3,TWAF531498
Default,KS20F-0.03 um,2025/4/2 00:45,53.7,TWAF531498
Default,KS20F-0.03 um,2025/4/3 00:45,42.7,TWAF531498
Default,KS20F-0.03 um,2025/4/4 00:45,52.3,TWAF531498
