point_time,value,FabPhase,Production Line
2024-03-31 21:34:29.389703,5.6823474901001525,T14P5,5
2024-04-01 21:34:29.389703,4.946579972942103,T14P5,7
2024-04-02 21:34:29.389703,5.646945171412931,T14P5,11
2024-04-03 21:34:29.389703,5.64080108012852,T14P5,7
2024-04-04 21:34:29.389703,5.178283682844335,T12P4,8
2024-04-05 21:34:29.389703,5.298819631408604,T14P5,5
2024-04-06 21:34:29.389703,4.929027399852604,T12P4,5
2024-04-07 21:34:29.389703,5.755186266972886,T14P5,7
2024-04-08 21:34:29.389703,5.897853470095621,T12P4,7
2024-04-09 21:34:29.389703,5.440988119936966,T14P5,5
2024-04-10 21:34:29.389703,5.490966836601908,T12P4,7
2024-04-11 21:34:29.389703,5.373212127483817,T14P5,11
2024-04-12 21:34:29.389703,5.212590138054627,T14P6,7
2024-04-13 21:34:29.389703,5.791509114632147,T14P6,8
2024-04-14 21:34:29.389703,5.430709451477742,T14P6,7
2024-04-15 21:34:29.389703,5.72849824378253,T12P4,7
2024-04-16 21:34:29.389703,5.8412102661692415,T14P5,11
2024-04-17 21:34:29.389703,5.625038789226897,T14P6,8
2024-04-18 21:34:29.389703,5.840639821842213,T12P4,8
2024-04-19 21:34:29.389703,5.356767835074321,T12P4,7
2024-04-20 21:34:29.389703,4.978319794654029,T14P5,11
2024-04-21 21:34:29.389703,5.7096542901896274,T14P5,7
2024-04-22 21:34:29.389703,5.2382157455440845,T12P4,7
2024-04-23 21:34:29.389703,4.981118723646253,T12P4,5
2024-04-24 21:34:29.389703,5.745245199402113,T14P6,8
2024-04-25 21:34:29.389703,4.957469356663365,T14P6,11
2024-04-26 21:34:29.389703,5.774946480473462,T12P4,8
2024-04-27 21:34:29.389703,5.436503910405234,T12P4,8
2024-04-28 21:34:29.389703,5.428284735611399,T14P6,8
2024-04-29 21:34:29.389703,5.640487983272293,T14P6,11
2024-04-30 21:34:29.389703,5.258633779609315,T14P6,8
2024-05-01 21:34:29.389703,5.754694563496353,T14P5,7
2024-05-02 21:34:29.389703,5.1522046786888565,T14P5,11
2024-05-03 21:34:29.389703,5.589409272579376,T14P5,8
2024-05-04 21:34:29.389703,5.699067041675651,T14P5,8
2024-05-05 21:34:29.389703,5.119021214893124,T12P4,7
2024-05-06 21:34:29.389703,5.356839899276225,T14P5,7
2024-05-07 21:34:29.389703,5.425325828739771,T14P6,8
2024-05-08 21:34:29.389703,5.785471032284263,T12P4,7
2024-05-09 21:34:29.389703,5.432001534356478,T14P5,8
2024-05-10 21:34:29.389703,5.873628320960422,T14P6,8
2024-05-11 21:34:29.389703,5.316065561096281,T12P4,8
2024-05-12 21:34:29.389703,5.515569866141048,T14P5,7
2024-05-13 21:34:29.389703,5.137466887643767,T14P5,8
2024-05-14 21:34:29.389703,5.1160801243195895,T14P6,7
2024-05-15 21:34:29.389703,5.229439992678546,T14P6,7
2024-05-16 21:34:29.389703,5.5609443947787796,T12P4,5
2024-05-17 21:34:29.389703,5.798087276993356,T14P6,8
2024-05-18 21:34:29.389703,5.813947081902986,T12P4,7
2024-05-19 21:34:29.389703,5.004952660541921,T14P5,8
2024-05-20 21:34:29.389703,4.978497145681584,T12P4,7
2024-05-21 21:34:29.389703,5.6770633504480985,T12P4,5
2024-05-22 21:34:29.389703,5.659232990938968,T14P5,11
2024-05-23 21:34:29.389703,5.8786668260388,T12P4,8
2024-05-24 21:34:29.389703,5.749609541538802,T14P5,11
2024-05-25 21:34:29.389703,5.73514215826629,T12P4,8
2024-05-26 21:34:29.389703,5.684977774298022,T14P5,7
2024-05-27 21:34:29.389703,5.501333693576886,T14P6,11
2024-05-28 21:34:29.389703,5.126130082340902,T14P6,5
2024-05-29 21:34:29.389703,5.487324800392423,T14P6,7
2024-05-30 21:34:29.389703,5.146637993740235,T14P6,8
2024-05-31 21:34:29.389703,5.0503026711317265,T14P5,5
2024-06-01 21:34:29.389703,5.731989466341155,T14P6,11
2024-06-02 21:34:29.389703,5.19836289427927,T12P4,7
2024-06-03 21:34:29.389703,5.825423982875727,T12P4,8
2024-06-04 21:34:29.389703,5.836916089569344,T14P5,8
2024-06-05 21:34:29.389703,5.353134230159423,T12P4,8
2024-06-06 21:34:29.389703,5.722024353944601,T14P6,7
2024-06-07 21:34:29.389703,5.23535384754828,T12P4,11
2024-06-08 21:34:29.389703,5.395715382017729,T14P6,5
2024-06-09 21:34:29.389703,4.936963670800688,T14P5,8
2024-06-10 21:34:29.389703,5.189040475476334,T14P6,7
2024-06-11 21:34:29.389703,5.217363040113754,T12P4,7
2024-06-12 21:34:29.389703,5.679332864505304,T12P4,7
2024-06-13 21:34:29.389703,5.168872336058112,T12P4,5
2024-06-14 21:34:29.389703,5.798701904408865,T14P6,7
2024-06-15 21:34:29.389703,5.181533795479898,T12P4,7
2024-06-16 21:34:29.389703,5.324128636277624,T14P6,11
2024-06-17 21:34:29.389703,5.0174481286519566,T14P5,7
2024-06-18 21:34:29.389703,5.801925245020932,T14P5,5
2024-06-19 21:34:29.389703,5.233389659640373,T12P4,5
2024-06-20 21:34:29.389703,5.361013245508547,T14P5,11
2024-06-21 21:34:29.389703,5.601778987447517,T12P4,11
2024-06-22 21:34:29.389703,5.8043320655149255,T14P5,7
2024-06-23 21:34:29.389703,5.005863585809466,T14P5,5
2024-06-24 21:34:29.389703,5.2809810314920185,T14P5,11
2024-06-25 21:34:29.389703,5.167433144484932,T12P4,5
2024-06-26 21:34:29.389703,5.086967587828172,T14P5,11
2024-06-27 21:34:29.389703,5.345965967628973,T14P6,8
2024-06-28 21:34:29.389703,5.003205472523306,T12P4,5
2024-06-29 21:34:29.389703,5.148572244900327,T14P6,11
2024-06-30 21:34:29.389703,5.789516309511097,T12P4,5
2024-07-01 21:34:29.389703,5.424681121004027,T14P6,7
2024-07-02 21:34:29.389703,5.739026594363209,T12P4,7
2024-07-03 21:34:29.389703,5.148206595793887,T14P6,7
2024-07-04 21:34:29.389703,5.502363486911032,T12P4,11
2024-07-05 21:34:29.389703,5.635143103552631,T12P4,8
2024-07-06 21:34:29.389703,5.178067937676229,T12P4,11
2024-07-07 21:34:29.389703,5.855576126085601,T14P5,7
2024-07-08 21:34:29.389703,5.422973874114521,T14P6,11
