GroupName,ChartName,point_time,point_val,Batch_ID
LT02-2_COA,Tackniess,2021/12/13  14:45:00 PM,6.318,1217130302A00
LT02-2_COA,Tackniess,2022/1/20  14:45:03 PM,6.299,0118200301A00
LT02-2_COA,Tackniess,2022/1/20  14:45:06 PM,6.242,0118200302A00
LT02-2_COA,Tackniess,2022/1/24  14:45:09 PM,6.439,0118240301A00
LT02-2_COA,Tackniess,2022/3/25  14:45:12 PM,6.92,0318250301A00
LT02-2_COA,Tackniess,2022/4/7  14:45:15 PM,5.881,0418070301A00
LT02-2_COA,Tackniess,2022/4/18  14:45:18 PM,6.879,0418180301A00
LT02-2_COA,Tackniess,2022/6/15  14:45:21 PM,5.555,0618150301A00
LT02-2_COA,Tackniess,2022/6/15  14:45:24 PM,5.868,0618150302A00
LT02-2_COA,Tackniess,2022/8/23  14:45:27 PM,5.891,0818230301A00
LT02-2_COA,Tackniess,2022/10/6  14:45:30 PM,5.81,1018060301A00
LT02-2_COA,Tackniess,2022/10/6  14:45:33 PM,6.065,1018060302A00
LT02-2_COA,Tackniess,2023/1/11  14:45:36 PM,6.457,0119110301A00
LT02-2_COA,Tackniess,2023/1/11  14:45:39 PM,5.456,0119110302A00
LT02-2_COA,Tackniess,2023/4/18  14:45:42 PM,5.847,0419180301A00
LT02-2_COA,Tackniess,2023/4/18  14:45:45 PM,6.436,0419180302A00
LT02-2_COA,Tackniess,2023/7/27  14:45:48 PM,6.428,0719270301A00
LT02-2_COA,Tackniess,2023/9/22  14:45:51 PM,6.348,0919220301A00
LT02-2_COA,Tackniess,2023/9/22  14:45:54 PM,6.111,0919220302A00
LT02-2_COA,Tackniess,2023/9/25  14:45:57 PM,6.477,0919250301A00
LT02-2_COA,Tackniess,2023/9/25  14:46:60 PM,6.277,0919250302A00
LT02-2_COA,Tackniess,2023/12/28  14:46:3 PM,6.234,1219280301A00
LT02-2_COA,Tackniess,2024/2/1  14:46:6 PM,6.61,0220010301A00
LT02-2_COA,Tackniess,2024/2/2  14:46:9 PM,5.914,0220020301A00
LT02-2_COA,Tackniess,2024/4/24  14:46:12 PM,6.599,0420240301A00
LT02-2_COA,Tackniess,2024/4/25  14:46:15 PM,6.748,0420250301A00
LT02-2_COA,Tackniess,2024/7/4  14:46:18 PM,5.965,0720040301A00
LT02-2_COA,Tackniess,2024/7/5  14:46:21 PM,6.259,0720050301A00
LT02-2_COA,Tackniess,2024/8/15  14:46:24 PM,6.27,0820150301A00
LT02-2_COA,Tackniess,2024/8/16  14:46:27 PM,6.022,0820160301A00
LT02-2_COA,Tackniess,2025/1/14  14:46:30 PM,5.977,0121140301A00
LT02-2_COA,Tackniess,2025/3/7  14:46:33 PM,5.967,0321070301A00
