GroupName,ChartName,point_time,point_val,Batch_ID
LT02-2_COA,Tape breaking elongation,2021/12/13  14:45:00 PM,53.7,1217130302A00
LT02-2_COA,Tape breaking elongation,2022/1/20  14:45:03 PM,76.6,0118200301A00
LT02-2_COA,Tape breaking elongation,2022/1/20  14:45:06 PM,73.5,0118200302A00
LT02-2_COA,Tape breaking elongation,2022/1/24  14:45:09 PM,60.7,0118240301A00
LT02-2_COA,Tape breaking elongation,2022/3/25  14:45:12 PM,69.0,0318250301A00
LT02-2_COA,Tape breaking elongation,2022/4/7  14:45:15 PM,48.5,0418070301A00
LT02-2_COA,Tape breaking elongation,2022/4/18  14:45:18 PM,53.4,0418180301A00
LT02-2_COA,Tape breaking elongation,2022/6/15  14:45:21 PM,59.9,0618150301A00
LT02-2_COA,Tape breaking elongation,2022/6/15  14:45:24 PM,56.4,0618150302A00
LT02-2_COA,Tape breaking elongation,2022/8/23  14:45:27 PM,49.9,0818230301A00
LT02-2_COA,Tape breaking elongation,2022/10/6  14:45:30 PM,55.2,1018060301A00
LT02-2_COA,Tape breaking elongation,2022/10/6  14:45:33 PM,42.0,1018060302A00
LT02-2_COA,Tape breaking elongation,2023/1/11  14:45:36 PM,59.4,0119110301A00
LT02-2_COA,Tape breaking elongation,2023/1/11  14:45:39 PM,58.0,0119110302A00
LT02-2_COA,Tape breaking elongation,2023/4/18  14:45:42 PM,60.1,0419180301A00
LT02-2_COA,Tape breaking elongation,2023/4/18  14:45:45 PM,64.1,0419180302A00
LT02-2_COA,Tape breaking elongation,2023/7/27  14:45:48 PM,55.8,0719270301A00
LT02-2_COA,Tape breaking elongation,2023/9/22  14:45:51 PM,59.8,0919220301A00
LT02-2_COA,Tape breaking elongation,2023/9/22  14:45:54 PM,61.9,0919220302A00
LT02-2_COA,Tape breaking elongation,2023/9/25  14:45:57 PM,57.4,0919250301A00
LT02-2_COA,Tape breaking elongation,2023/9/25  14:46:60 PM,62.7,0919250302A00
LT02-2_COA,Tape breaking elongation,2023/12/28  14:46:3 PM,62.5,1219280301A00
LT02-2_COA,Tape breaking elongation,2024/2/1  14:46:6 PM,65.0,0220010301A00
LT02-2_COA,Tape breaking elongation,2024/2/2  14:46:9 PM,68.5,0220020301A00
LT02-2_COA,Tape breaking elongation,2024/4/24  14:46:12 PM,64.4,0420240301A00
LT02-2_COA,Tape breaking elongation,2024/4/25  14:46:15 PM,54.0,0420250301A00
LT02-2_COA,Tape breaking elongation,2024/7/4  14:46:18 PM,59.5,0720040301A00
LT02-2_COA,Tape breaking elongation,2024/7/5  14:46:21 PM,62.2,0720050301A00
LT02-2_COA,Tape breaking elongation,2024/8/15  14:46:24 PM,72.6,0820150301A00
LT02-2_COA,Tape breaking elongation,2024/8/16  14:46:27 PM,66.4,0820160301A00
LT02-2_COA,Tape breaking elongation,2025/1/14  14:46:30 PM,65.1,0121140301A00
LT02-2_COA,Tape breaking elongation,2025/3/7  14:46:33 PM,66.1,0321070301A00
