GroupName,ChartName,point_time,point_val,Batch_ID
LT02-2_COA,Tape breaking strength,2021/12/13  14:45:00 PM,253.0,1217130302A00
LT02-2_COA,Tape breaking strength,2022/1/20  14:45:03 PM,257.6,0118200301A00
LT02-2_COA,Tape breaking strength,2022/1/20  14:45:06 PM,263.8,0118200302A00
LT02-2_COA,Tape breaking strength,2022/1/24  14:45:09 PM,268.3,0118240301A00
LT02-2_COA,Tape breaking strength,2022/3/25  14:45:12 PM,247.2,0318250301A00
LT02-2_COA,Tape breaking strength,2022/4/7  14:45:15 PM,260.4,0418070301A00
LT02-2_COA,Tape breaking strength,2022/4/18  14:45:18 PM,264.1,0418180301A00
LT02-2_COA,Tape breaking strength,2022/6/15  14:45:21 PM,261.7,0618150301A00
LT02-2_COA,Tape breaking strength,2022/6/15  14:45:24 PM,254.5,0618150302A00
LT02-2_COA,Tape breaking strength,2022/8/23  14:45:27 PM,243.1,0818230301A00
LT02-2_COA,Tape breaking strength,2022/10/6  14:45:30 PM,245.7,1018060301A00
LT02-2_COA,Tape breaking strength,2022/10/6  14:45:33 PM,238.9,1018060302A00
LT02-2_COA,Tape breaking strength,2023/1/11  14:45:36 PM,258.1,0119110301A00
LT02-2_COA,Tape breaking strength,2023/1/11  14:45:39 PM,256.3,0119110302A00
LT02-2_COA,Tape breaking strength,2023/4/18  14:45:42 PM,257.7,0419180301A00
LT02-2_COA,Tape breaking strength,2023/4/18  14:45:45 PM,262.9,0419180302A00
LT02-2_COA,Tape breaking strength,2023/7/27  14:45:48 PM,249.9,0719270301A00
LT02-2_COA,Tape breaking strength,2023/9/22  14:45:51 PM,239.1,0919220301A00
LT02-2_COA,Tape breaking strength,2023/9/22  14:45:54 PM,246.1,0919220302A00
LT02-2_COA,Tape breaking strength,2023/9/25  14:45:57 PM,244.4,0919250301A00
LT02-2_COA,Tape breaking strength,2023/9/25  14:46:60 PM,250.5,0919250302A00
LT02-2_COA,Tape breaking strength,2023/12/28  14:46:3 PM,259.1,1219280301A00
LT02-2_COA,Tape breaking strength,2024/2/1  14:46:6 PM,241.7,0220010301A00
LT02-2_COA,Tape breaking strength,2024/2/2  14:46:9 PM,245.1,0220020301A00
LT02-2_COA,Tape breaking strength,2024/4/24  14:46:12 PM,249.0,0420240301A00
LT02-2_COA,Tape breaking strength,2024/4/25  14:46:15 PM,248.8,0420250301A00
LT02-2_COA,Tape breaking strength,2024/7/4  14:46:18 PM,253.1,0720040301A00
LT02-2_COA,Tape breaking strength,2024/7/5  14:46:21 PM,250.9,0720050301A00
LT02-2_COA,Tape breaking strength,2024/8/15  14:46:24 PM,262.5,0820150301A00
LT02-2_COA,Tape breaking strength,2024/8/16  14:46:27 PM,241.6,0820160301A00
LT02-2_COA,Tape breaking strength,2025/1/14  14:46:30 PM,243.9,0121140301A00
LT02-2_COA,Tape breaking strength,2025/3/7  14:46:33 PM,244.8,0321070301A00
