GroupName,ChartName,point_time,point_val,Batch_ID
LT02-2_IPQC,filiter pressure,2022/4/18  14:45:18 PM,1.6,0418180301
LT02-2_IPQC,filiter pressure,2022/6/15  14:45:21 PM,1.5,0618150301
LT02-2_IPQC,filiter pressure,2022/6/15  14:45:22 PM,1.6,0618150302
LT02-2_IPQC,filiter pressure,2022/8/23  14:45:27 PM,1.6,0818230301
LT02-2_IPQC,filiter pressure,2022/10/6  14:45:30 PM,1.6,1018060301
LT02-2_IPQC,filiter pressure,2022/10/6  14:45:33 PM,1.6,1018060302
LT02-2_IPQC,filiter pressure,2023/1/11  14:45:36 PM,1.8,0119110301
LT02-2_IPQC,filiter pressure,2023/1/11  14:45:39 PM,1.8,0119110302
LT02-2_IPQC,filiter pressure,2023/4/18  14:45:42 PM,1.8,0419180301
LT02-2_IPQC,filiter pressure,2023/7/27  14:45:48 PM,1.7,0719270301
LT02-2_IPQC,filiter pressure,2023/9/22  14:45:51 PM,1.8,0919220301
LT02-2_IPQC,filiter pressure,2023/9/22  14:45:54 PM,1.8,0919220302
LT02-2_IPQC,filiter pressure,2023/9/25  14:45:57 PM,1.8,0919250301
LT02-2_IPQC,filiter pressure,2023/9/25  14:46:60 PM,1.8,0919250302
LT02-2_IPQC,filiter pressure,2023/12/28  14:46:3 PM,1.9,1219280301
LT02-2_IPQC,filiter pressure,2024/2/1  14:46:6 PM,1.6,0220010301
LT02-2_IPQC,filiter pressure,2024/2/2  14:46:9 PM,1.6,0220020301
LT02-2_IPQC,filiter pressure,2024/4/24  14:46:12 PM,1.6,0420240301
LT02-2_IPQC,filiter pressure,2024/4/25  14:46:15 PM,1.6,0420250301
LT02-2_IPQC,filiter pressure,2024/7/4  14:46:18 PM,1.9,0720040301
LT02-2_IPQC,filiter pressure,2024/7/5  14:46:21 PM,1.9,0720050301
LT02-2_IPQC,filiter pressure,2024/8/15  14:46:24 PM,1.6,0820150301
LT02-2_IPQC,filiter pressure,2024/8/16  14:46:27 PM,1.6,0820160301
LT02-2_IPQC,filiter pressure,2025/1/14  14:46:30 PM,1.6,0121140301
LT02-2_IPQC,filiter pressure,2025/3/7  14:46:33 PM,1.6,0321070301
LT02-2_IPQC,filiter pressure,2025/3/24  14:46:31 PM,1.7,0321240301
LT02-2_IPQC,filiter pressure,2025/3/25  14:46:32 PM,1.7,0321250301
