GroupName,ChartName,point_time,point_val,Batch_ID,FabPhase,Production Line
apple1,x,2023/5/10 11:05,0.93,1BGCX,T14P5,7
apple2,x,2023/5/10 11:05,0.82,1BFYW,T14P6,7
apple3,x,2023/5/10 11:06,0.81,1BGEZ,T14P6,11
apple4,x,2023/5/10 11:06,0.91,1BGAI,T12P4,5
apple5,x,2023/5/10 11:06,1.03,1BGKB,T12P4,8
apple6,x,2023/5/10 11:06,0.81,1BFYW,T12P4,8
apple7,x,2023/5/10 11:07,0.5,1BGKJ,T12P4,6
apple8,x,2023/5/10 11:06,0.5,1BGJZ,T12P4,6
apple9,x,2023/5/10 11:07,0.52,1BGAJ,T12P4,11
apple10,x,2023/5/10 11:08,0.86,1BGAI,T12P4,5
apple11,x,2023/5/10 11:08,0.89,1BGGR,T12P4,6
apple12,x,2023/5/10 11:08,0.5,1BFSZ,T12P4,6
apple13,x,2023/5/10 11:08,0.49,1BFSZ,T12P4,9
apple14,x,2023/5/10 11:08,0.6,1BGKA,T12P4,5
apple15,x,2023/5/10 11:09,0.5,1BGDX,T12P4,11
apple16,x,2023/5/10 11:09,0.5,1BGMA,T12P4,7
apple17,x,2023/5/10 11:09,0.3,1BHEQ,T12P4,4
apple18,x,2023/5/10 11:09,0.93,1BGCX,T12P4,9
apple19,x,2023/5/10 11:09,0.93,1BGCX,T12P4,7
apple20,x,2023/5/10 11:09,0.51,1BFWN,T12P4,11
apple21,x,2023/5/10 11:10,0.33,1BHHF,T12P4,5
apple22,x,2023/5/10 11:10,0.21,1BHFH,T12P4,10
apple23,x,2023/5/10 11:10,0.58,1BGKA,T12P4,4
apple24,x,2023/5/10 11:11,0.57,1BGKI,T12P4,5
apple25,x,2023/5/10 11:11,0.57,1BGKI,T12P4,6
apple26,x,2023/5/10 11:11,0.27,1BHGT,T12P4,6
apple27,x,2023/5/10 11:11,0.93,1BGBZ,T12P4,6
apple28,x,2023/5/10 11:11,0.27,1BHGT,T12P4,6
apple29,x,2023/5/10 11:12,0.18,1BHII,T12P4,6
apple30,x,2023/5/10 11:12,0.49,1BGDX,T12P4,6
apple31,x,2023/5/10 11:12,0.72,1BGLZ,T12P4,6
apple32,x,2023/5/10 11:12,0.91,1BGBZ,T12P4,6
apple33,x,2023/5/10 11:13,0.82,1BGAI,T12P4,6
apple34,x,2023/5/10 11:12,0.3,1BHEQ,T12P4,6
apple35,x,2023/5/10 11:13,0.71,1BHDQ,T12P4,6
apple36,x,2023/5/10 11:13,0.6,1BGKH,T12P4,6
apple37,x,2023/5/10 11:13,0.59,1BHDQ,T12P4,6
apple38,x,2023/5/10 11:13,0.6,1BGKH,T12P4,6
apple39,x,2023/5/10 11:13,0.49,1BGII,T12P4,6
apple40,x,2023/5/10 11:14,0.72,1BGLZ,T12P4,6
apple41,x,2023/5/10 11:14,0.18,1BHII,T12P4,6
apple42,x,2023/5/10 11:14,0.81,1BGEZ,T12P4,6
apple43,x,2023/5/10 11:14,0.5,1BGMA,T12P4,6
apple44,x,2023/5/10 11:14,0.5,1BGMA,T12P4,6
apple45,x,2023/5/10 11:15,0.34,1BHJV,T12P4,6
apple46,x,2023/5/10 11:15,0.6,1BGKH,T12P4,6
apple47,x,2023/5/10 11:15,1,1BHNR,T12P4,6
apple48,x,2023/5/10 11:16,0.33,1BHHF,T12P4,6
apple49,x,2023/5/10 11:16,0.5,1BGMA,T12P4,6
apple50,x,2023/6/19 09:48,0.45,1BHLA,T12P4,6
apple51,x,2023/6/19 09:48,0.35,1BHND,T12P4,6
apple52,x,2023/6/19 09:49,0.45,1BHLA,T12P4,6
apple53,x,2023/6/19 09:49,0.13,1BHNS,T12P4,6
apple54,x,2023/6/19 09:49,0.4,1BHSZ,T12P4,6
apple55,x,2023/6/19 09:49,0.32,1BHTF,T12P4,6
apple56,x,2023/6/19 09:50,0.76,1BHTP,T12P4,6
apple57,x,2023/6/19 09:50,0.76,1BHTP,T12P4,6
apple58,x,2023/6/19 09:50,0.4,1BHSZ,T12P4,6
apple59,x,2023/6/19 09:50,0.33,1BHTR,T12P4,6
apple60,x,2023/6/19 09:50,0.25,1BHUS,T12P4,6
apple61,x,2023/6/19 09:50,0.72,1BFWO,T12P4,6
apple62,x,2023/6/19 09:51,0.33,1BHTQ,T12P4,6
apple63,x,2023/6/19 09:51,0.68,1BHUI,T12P4,6
apple64,x,2023/6/19 09:51,0.33,1BHTQ,T12P4,6
apple65,x,2023/6/19 09:51,0.68,1BHUI,T12P4,6
apple66,x,2023/6/19 09:52,0.22,1BHUL,T12P4,6
apple67,x,2023/6/19 09:52,0.21,1BHVB,T12P4,6
apple68,x,2023/6/19 09:58,0.44,1BHKY,T12P4,6
apple69,x,2023/6/19 09:58,0.45,1BHTZ,T12P4,6
apple70,x,2023/6/19 09:59,0.21,1BHVC,T12P4,6
apple71,x,2023/6/19 09:59,0.2,1BHUY,T12P4,6
apple72,x,2023/6/19 09:59,0.44,1BHKY,T12P4,6
apple73,x,2023/6/19 09:59,0.45,1BHTZ,T12P4,6
apple74,x,2023/6/19 09:59,0.39,1BHUT,T12P4,6
apple75,x,2023/6/19 09:59,0.35,1BHVF,T12P4,6
apple76,x,2023/6/19 09:59,0.2,1BHVC,T12P4,6
apple77,x,2023/6/19 09:59,0.39,1BHUT,T12P4,6
apple78,x,2023/6/19 09:59,0.38,1BHVF,T12P4,6
apple79,x,2023/6/19 10:00,0.2,1BHUY,T12P4,6
apple80,x,2023/6/19 10:00,0.32,1BHVM,T12P4,6
apple81,x,2023/6/19 10:00,0.46,1BHVQ,T12P4,6
apple82,x,2023/7/13 11:15,0.38,1BHVO,T12P4,6
apple83,x,2023/7/13 11:15,0.37,1BHVO,T12P4,6
apple84,x,2023/7/13 11:15,0.77,1BHWI,T12P4,6
apple85,x,2023/7/13 11:15,0.39,1BHWL,T12P4,6
apple86,x,2023/7/13 11:16,0.32,1BHWB,T14P5,7
apple87,x,2023/7/13 11:16,0.51,1BHWA,T14P6,7
apple88,x,2023/7/13 11:16,0.53,1BHWZ,T14P6,11
apple89,x,2023/7/13 11:16,0.75,1BHWH,T12P4,5
apple90,x,2023/7/13 11:16,0.57,1BHWO,T12P4,8
apple91,x,2023/7/13 11:16,0.52,1BHWA,T12P4,8
apple92,x,2023/7/13 11:16,0.48,1BHWW,T12P4,6
apple93,x,2023/7/13 11:16,0.5,1BHWY,T12P4,6
apple94,x,2023/7/13 11:16,0.25,1BHWP,T12P4,11
apple95,x,2023/7/13 11:17,0.5,1BHWY,T12P4,5
apple96,x,2023/7/13 11:17,0.53,1BHWZ,T12P4,6
apple97,x,2023/7/13 11:17,0.52,1BHWM,T12P4,6
apple98,x,2023/7/13 11:17,0.33,1BHWV,T12P4,9
apple99,x,2023/7/13 11:17,0.51,1BHWW,T12P4,5
apple100,x,2023/7/13 11:17,0.39,1BHWT,T12P4,11
apple101,x,2023/7/13 11:17,0.25,1BHWP,T12P4,7
apple102,x,2023/7/13 11:17,0.53,1BHWZ,T12P4,4
apple103,x,2023/7/13 11:18,0.28,1BHXC,T12P4,9
apple104,x,2023/7/13 11:18,0.5,1BHWY,T12P4,7
apple105,x,2023/7/13 11:18,0.54,1BHWW,T14P5,7
apple106,x,2023/7/13 11:18,0.55,1BHXH,T14P6,7
apple107,x,2023/7/13 11:18,0.74,1BHXB,T14P6,11
apple108,x,2023/7/13 11:18,0.73,1BHXB,T12P4,5
apple109,x,2023/7/13 11:18,0.53,1BHWO,T12P4,8
apple110,x,2023/7/13 11:18,0.52,1BHXF,T12P4,8
apple111,x,2023/7/13 11:18,0.28,1BHXC,T12P4,6
apple112,x,2023/7/13 11:18,0.5,1BHXG,T12P4,6
apple113,x,2023/7/13 11:18,0.35,1BHWV,T12P4,11
apple114,x,2023/7/13 11:19,0.5,1BHXG,T12P4,5
apple115,x,2023/7/13 11:19,0.39,1BHWT,T12P4,6
apple116,x,2023/7/13 11:19,0.3,1BHXO,T12P4,6
apple117,x,2023/7/13 11:19,0.55,1BHXH,T12P4,9
apple118,x,2023/7/13 11:19,0.37,1BHXR,T12P4,5
apple119,x,2023/7/13 11:19,0.56,1BHXQ,T12P4,11
apple120,x,2023/7/13 11:19,0.39,1BHXR,T12P4,7
apple121,x,2023/8/8 10:43,0.65,1BHXJ,T12P4,4
apple122,x,2023/8/8 10:43,0.65,1BHXL,T12P4,9
apple123,x,2023/8/8 10:43,0.51,1BHXU,T12P4,7
apple124,x,2023/8/8 10:44,0.18,1BHYD,T14P5,7
apple125,x,2023/8/8 10:44,0.63,1BHXN,T14P6,7
apple126,x,2023/8/8 10:44,0.55,1BHXK,T14P6,11
apple127,x,2023/8/8 10:44,0.85,1BHYC,T12P4,5
apple128,x,2023/8/8 10:44,0.32,1BHYN,T12P4,8
apple129,x,2023/8/8 10:44,0.85,1BHYM,T12P4,8
apple130,x,2023/8/8 10:45,0.65,1BHXL,T12P4,6
apple131,x,2023/8/8 10:45,0.32,1BHYN,T12P4,6
apple132,x,2023/8/8 10:45,0.65,1BHXN,T12P4,11
apple133,x,2023/8/8 10:45,0.18,1BHYD,T12P4,5
apple134,x,2023/8/8 10:45,0.51,1BHXU,T12P4,6
apple135,x,2023/8/8 10:45,0.76,1BHXW,T12P4,6
apple136,x,2023/8/8 10:45,0.67,1BHXX,T12P4,9
apple137,x,2023/8/8 10:45,0.9,1BHYB,T12P4,5
apple138,x,2023/8/8 10:46,0.52,1BHYQ,T12P4,11
apple139,x,2023/8/8 10:46,0.89,1BHYC,T12P4,7
apple140,x,2023/8/8 10:46,0.52,1BHYQ,T12P4,4
apple141,x,2023/8/8 10:46,0.35,1BHYO,T12P4,9
apple142,x,2023/8/8 10:46,0.26,1BHYS,T12P4,7
apple143,x,2023/8/8 10:46,0.35,1BHYO,T14P5,7
apple144,x,2023/8/8 10:47,0.18,1BHYD,T14P6,7
apple145,x,2023/8/8 10:46,0.67,1BHXX,T14P6,11
apple146,x,2023/8/8 10:47,0.56,1BHYT,T12P4,5
apple147,x,2023/8/8 10:47,0.55,1BHXK,T12P4,8
apple148,x,2023/8/8 10:47,0.9,1BHYB,T12P4,8
apple149,x,2023/8/8 10:47,0.35,1BHYO,T12P4,6
